Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms),duration_min,trip_category,start_hour,end_hour,start_day,start_month,is_weekend,day_type
153051113,2025-10-15 22:44:00,"Leonard Circus , Shoreditch",1020,2025-10-15 23:19:00,"Gas Holders, Battersea Park",300216,56572,CLASSIC,35m 6s,2106361,35.10601666666667,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051114,2025-10-15 22:44:00,"Wormwood Street, Liverpool Street",2587,2025-10-15 22:49:00,"Museum of London, Barbican",1043,53931,CLASSIC,4m 20s,260895,4.34825,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051115,2025-10-15 22:44:00,"Danvers Street, West Chelsea",200222,2025-10-15 22:46:00,"The Vale, Chelsea",300058,53883,CLASSIC,2m 0s,120935,2.0155833333333333,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051116,2025-10-15 22:44:00,"Goswell Road (City Uni), Finsbury",1222,2025-10-15 22:49:00,"Sadlers Sports Centre, Finsbury",3433,59497,CLASSIC,4m 13s,253426,4.223766666666666,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051117,2025-10-15 22:45:00,"Royal London Hospital, Whitechapel",1077,2025-10-15 22:51:00,"Aylward Street, Stepney",300049,20992,CLASSIC,6m 48s,408590,6.809833333333334,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051118,2025-10-15 22:44:00,"Bonner Gate, Victoria Park",200241,2025-10-15 22:52:00,"Shoreditch High Street, Shoreditch",3445,62613,PBSC_EBIKE,7m 9s,429788,7.163133333333334,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051119,2025-10-15 22:44:00,"Baldwin Street, St. Luke's",3500,2025-10-15 22:49:00,"Worship Street, Shoreditch",997,56703,CLASSIC,4m 54s,294865,4.914416666666667,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
153051094,2025-10-15 22:43:00,"Bonny Street, Camden Town",200105,2025-10-15 22:54:00,"British Museum, Bloomsbury",981,63495,PBSC_EBIKE,10m 54s,654349,10.905816666666666,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051096,2025-10-15 22:43:00,"Hop Exchange, The Borough",960,2025-10-15 23:12:00,"Royal College Street, Camden Town",2686,55723,CLASSIC,29m 16s,1756160,29.269333333333332,Normal(10-40 mins),22,23,Wednesday,October,False,Weekday
153051097,2025-10-15 22:43:00,"Gascoyne Road, Victoria Park",200155,2025-10-15 22:56:00,"Granby Street, Shoreditch",22174,58904,CLASSIC,13m 14s,794792,13.246533333333334,Normal(10-40 mins),22,22,Wednesday,October,False,Weekday
153051098,2025-10-15 22:43:00,"Sloane Avenue, Knightsbridge",3461,2025-10-15 22:52:00,"Buckingham Gate, Westminster",200178,54647,CLASSIC,8m 56s,536149,8.935816666666666,Short(1-10 mins),22,22,Wednesday,October,False,Weekday
